stop_id,stop_name,stop_lat,stop_lon
39_26,J. Muara (Kg Kapok),0.0,0.0
39_27,J. Muara (Kg Salar),0.0,0.0
39_28,J. Muara (Kg Salar),0.0,0.0
39_29,J. Kota Batu (Kg Sg Buloh J. Batu Marang),0.0,0.0
39_30,Kg Sungai Buloh (Spg 5 / 135),0.0,0.0
39_31,J. Kota Batu (Masjid Kg Sg Buloh),0.0,0.0
39_32,RPN Kg Mentiri (Spg 175 / Masjid),0.0,0.0
39_33,Pantai Mentiri Golf Club,0.0,0.0
39_34,RPN Kg Mentiri (J. D/Masjid RPN Mentiri),0.0,0.0
39_35,J. Kota Batu (Kg Mentiri / Masjid),0.0,0.0
39_36,RPN Kg Mentiri (Spg 345 / 379 / 175),0.0,0.0
39_37,J. Kota Batu (Kg Sungai Besar),0.0,0.0
39_38,J. Kota Batu (Kg Sungai Belukut),0.0,0.0
42_1,BSB Bus Terminal,0.0,0.0
42_2,Royal Regalia/Sumbiling (Fire & Rescue),0.0,0.0
42_3,J. SOAS (Royal Regalia),0.0,0.0
42_4,J. RIPAS (Mahkamah (Court)),0.0,0.0
42_5,J. RIPAS (Mile 1 - Batu 1),0.0,0.0
42_6,J. RIPAS (Sri Complex/KUPUSB/Tumasek),0.0,0.0
42_7,J. RIPAS (Tumasek/KUPUSB),0.0,0.0
42_8,J. RIPAS (Spg 153 / 237),0.0,0.0
42_9,Taman Damuan,0.0,0.0
42_10,J. RIPAS (Istana Nurul Iman),0.0,0.0
42_11,J. Tutong (Opp Spg 389/394/402/444/285),0.0,0.0
42_12,Taman Damuan,0.0,0.0
42_13,J. Tutong (Opp Taman Puri/National Inn),0.0,0.0
42_14,J. Tutong (Kg Telanai),0.0,0.0
42_15,J. Tutong (Opp SR Bendahara Sakam Bunut),0.0,0.0
42_16,J. Tutong (Opp National Inn/J. Hj Halus),0.0,0.0
42_17,J. Tutong (Spg 728/774/J. Dadap),0.0,0.0
42_18,J. Tutong (SR Bendahara Sakam Bunut),0.0,0.0
42_19,J. Tutong (Opp Spg 993/1038/1080/1116/1026),0.0,0.0
42_20,J. Tutong (Spg 729/735/759/779/803),0.0,0.0
42_21,J. Tutong (Opp Spg 993/1109/1023),0.0,0.0
42_22,J. Tutong (Sengkurong Health Centre),0.0,0.0
42_23,J. Tutong (Hua Ho Tg Bunut),0.0,0.0
42_24,Pos Kawalan Kuala Lurah,0.0,0.0
42_25,J. Kuala Lurah (Opp Spg 152 / 96 / 60),0.0,0.0
42_26,J. Kuala Lurah (Spg 60 / 96 / 152),0.0,0.0
42_27,Taman Mini Parit,0.0,0.0
42_28,J. Mulaut/Limau Manis (Spg 1043/1133/1145/1253),0.0,0.0
42_29,J. Mulaut/Limau Manis (Spg 816 / 884 / 938),0.0,0.0
42_30,Taman Mini Parit,0.0,0.0
42_31,J. Mulaut/Limau Manis (S. Ugama Kg Masin),0.0,0.0
42_32,J. Mulaut/Limau Manis (MOSAL),0.0,0.0
42_33,J. Mulaut/Limau Manis (Spg 647 / 718 / 728),0.0,0.0
42_34,J. Mulaut/Limau Manis (Hua Ho Mulaut),0.0,0.0
42_35,J. Mulaut/Limau Manis (Spg 525 / 558 / 610),0.0,0.0
42_36,J. Ban 4 / Ban 5 (Spg 285),0.0,0.0
42_37,Shell Bebatik Kilanas,0.0,0.0
42_38,J. Mulaut/Limau Manis (Ayamku),0.0,0.0
42_39,J. Mulaut/Limau Manis (Hua Ho Mulaut),0.0,0.0
42_40,J. Tutong (J. Pasai 1/Ban 3/Spg 102),0.0,0.0
42_41,J. Mulaut/Limau Manis (S. Ugama Mulaut),0.0,0.0
42_42,J. Tutong (SR Sengkurong),0.0,0.0
42_43,J. Mulaut/Limau Manis (J. Pasal2/Spg 58/102),0.0,0.0
42_44,J. Tutong (Opp Agriculture RC),0.0,0.0
42_45,J. Tutong (Shell Sengkurong),0.0,0.0
44_1,BSB Bus Terminal,0.0,0.0
44_2,J. SOAS (Royal Regalia),0.0,0.0
44_3,J. SOAS (Royal Regalia),0.0,0.0
44_4,Sumbiling (Fire & Rescue),0.0,0.0
44_5,J. RIPAS - Sumbiling,0.0,0.0
44_6,J. RIPAS (Mahkamah (Court)),0.0,0.0
44_7,J. RIPAS (Mile 1 / Batu 1),0.0,0.0
44_8,J. RIPAS (Sri Complex/KUPUSB),0.0,0.0
44_9,J. RIPAS (Istana Nurul Iman),0.0,0.0
44_10,Taman Damuan,0.0,0.0
44_11,J. RIPAS (Istana Nurul Iman),0.0,0.0
44_12,J. Tutong (Taman Puri),0.0,0.0
44_13,Taman Damuan,0.0,0.0
44_14,J. Tutong (Opp SR Bendahara Sakam Bunut),0.0,0.0
44_15,Pos Kawalan Kuala Lurah,0.0,0.0
44_16,J. Junjongan (Masjid Kg Junjongan),0.0,0.0
44_17,J. Junjongan (SR Junjongan),0.0,0.0
44_18,J. Junjongan (TelBru Station),0.0,0.0
44_19,J. Kuala Lurah (Spg 125),0.0,0.0
44_20,J. Bengkurong Masin (Soon Lee Megamart),0.0,0.0
44_21,J. Kuala Lurah (Masjid Limau Manis),0.0,0.0
44_22,J. Tutong (Spg 729 / 803),0.0,0.0
44_23,J. Junjongan (Masjid Kg Junjongan),0.0,0.0
44_24,J. Tutong (SR Bendahara Sakam Bunut),0.0,0.0
44_25,J. Bengkurong Masin (Soon Lee Megamart),0.0,0.0
44_26,J. Tutong (Spg 625),0.0,0.0
44_27,J. Tutong (Kg Bunut / Spg 774),0.0,0.0
44_28,J. Tutong (Kg Telanai),0.0,0.0
45_1,BSB Bus Terminal,0.0,0.0
